,confirmed_cases,total_dead,recovered
07-21-2020,8985,174,6044
07-20-2020,8948,170,6002
07-19-2020,8810,167,5948
07-18-2020,8669,163,5859
07-17-2020,8544,160,5809
07-16-2020,8481,156,5735
07-15-2020,8369,153,5605
07-14-2020,8243,150,5580
07-13-2020,8198,150,5514
07-12-2020,8135,148,5446
07-11-2020,8014,145,5381
07-10-2020,7882,145,5311
07-09-2020,7784,143,5169
07-08-2020,7657,141,5097
07-07-2020,7547,137,5023
07-06-2020,7478,136,4870
07-05-2020,7400,133,4870
07-04-2020,7272,129,4713
07-03-2020,7164,125,4666
07-02-2020,7054,121,4599
07-01-2020,6925,116,4545
06-30-2020,6793,112,4431
06-29-2020,6698,108,4341
06-28-2020,6586,105,4291
06-27-2020,6459,102,4255
06-26-2020,6354,98,4193
06-25-2020,6233,94,4162
06-24-2020,6129,93,4072
06-23-2020,6034,89,4046
06-22-2020,5970,86,3953
06-21-2020,5888,84,3919
06-20-2020,5783,82,3859
06-19-2020,5639,79,3788
06-18-2020,5475,76,3716
06-17-2020,5369,73,3606
06-16-2020,5247,70,3525
06-15-2020,5173,64,3424
06-14-2020,5090,60,3344
06-13-2020,4996,60,3228
06-12-2020,4851,56,3100
06-11-2020,4759,55,2994
06-10-2020,4640,52,2885
06-09-2020,4516,52,2809
06-08-2020,4427,49,2699
06-07-2020,4328,49,2588
06-06-2020,4249,47,2512
06-05-2020,4155,45,2276
06-04-2020,4021,45,2162
06-03-2020,3932,45,2063
06-02-2020,3836,43,1954
06-01-2020,3739,42,1858
05-31-2020,3645,42,1801
05-30-2020,3535,42,1761
05-29-2020,3429,41,1738
05-28-2020,3348,39,1686
05-27-2020,3253,38,1586
05-26-2020,3161,36,1565
05-25-2020,3130,35,1515
05-24-2020,3047,35,1456
05-23-2020,2976,34,1416
05-22-2020,2909,33,1311
05-21-2020,2812,33,1251
05-20-2020,2714,30,1186
05-19-2020,2617,30,1133
05-18-2020,2544,26,1076
05-17-2020,2480,25,973
05-16-2020,2429,25,949
05-15-2020,2310,25,890
05-14-2020,2189,23,842
05-13-2020,2105,21,782
05-12-2020,1995,19,742
05-11-2020,1886,19,715
05-10-2020,1709,19,650
05-09-2020,1634,17,643
05-08-2020,1551,13,611
05-07-2020,1492,13,562
05-06-2020,1433,12,493
05-05-2020,1329,11,470
05-04-2020,1271,10,415
05-03-2020,1182,9,372
05-02-2020,1115,9,368
05-01-2020,1024,9,356
04-30-2020,933,9,334
04-29-2020,882,9,315
04-28-2020,823,9,296
04-27-2020,736,9,284
04-26-2020,671,9,283
04-25-2020,614,7,276
04-24-2020,545,7,262
04-23-2020,479,6,257
04-22-2020,442,6,253
04-21-2020,412,5,242
04-20-2020,377,5,235
04-19-2020,367,3,220
04-18-2020,350,3,211
04-17-2020,342,2,198
04-16-2020,335,2,194
04-15-2020,314,2,190
04-14-2020,299,2,183
04-13-2020,291,2,178
04-12-2020,280,2,171
04-11-2020,278,2,152
04-10-2020,265,2,137
04-09-2020,250,2,123
04-08-2020,244,2,113
04-07-2020,237,2,105
04-06-2020,226,2,92
04-05-2020,222,2,82
04-04-2020,219,2,72
04-03-2020,207,1,66
04-02-2020,195,1,55
04-01-2020,190,1,45
03-31-2020,175,0,40
03-30-2020,162,0,27
03-29-2020,142,0,27
03-28-2020,130,0,18
03-27-2020,119,0,11
03-26-2020,105,0,9
03-25-2020,99,0,9
03-24-2020,86,0,8
03-23-2020,79,0,8
03-22-2020,67,0,5
03-21-2020,47,0,5
03-20-2020,38,0,2
03-19-2020,31,0,2
03-18-2020,31,0,2
03-17-2020,26,0,2
03-16-2020,24,0,2
03-15-2020,24,0,1
03-14-2020,10,0,1
03-13-2020,10,0,1
03-12-2020,4,0,1
03-11-2020,4,0,1
03-10-2020,4,0,1
03-09-2020,4,0,1
03-08-2020,4,0,1
03-07-2020,4,0,0
03-06-2020,4,0,0
03-05-2020,4,0,0
03-04-2020,4,0,0
03-03-2020,2,0,0
03-02-2020,1,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
