,confirmed_cases,total_dead,recovered
07-16-2020,1383,9,375
07-15-2020,1330,9,375
07-14-2020,1268,9,373
07-13-2020,1219,9,369
07-12-2020,1157,9,364
07-11-2020,1135,9,349
07-10-2020,1111,9,344
07-09-2020,1092,9,340
07-08-2020,1071,8,337
07-07-2020,1040,8,280
07-06-2020,1012,8,277
07-05-2020,987,8,256
07-04-2020,969,7,256
07-03-2020,939,6,249
07-02-2020,918,6,249
07-01-2020,903,6,248
06-30-2020,889,6,232
06-29-2020,883,6,229
06-28-2020,859,5,228
06-27-2020,839,5,225
06-26-2020,816,5,223
06-25-2020,788,5,221
06-24-2020,762,5,220
06-23-2020,757,5,206
06-22-2020,737,5,181
06-21-2020,733,5,181
06-20-2020,688,4,177
06-19-2020,668,4,177
06-18-2020,662,4,175
06-17-2020,651,4,160
06-16-2020,638,4,160
06-15-2020,609,3,157
06-14-2020,583,3,151
06-13-2020,553,2,151
06-12-2020,509,2,145
06-11-2020,489,2,144
06-10-2020,472,2,138
06-09-2020,453,2,136
06-08-2020,433,2,131
06-07-2020,424,2,127
06-06-2020,409,2,126
06-05-2020,354,2,119
06-04-2020,352,2,114
06-03-2020,316,2,109
06-02-2020,307,2,98
06-01-2020,254,2,97
05-31-2020,254,2,91
05-30-2020,244,2,90
05-29-2020,234,2,84
05-28-2020,233,2,82
05-27-2020,227,1,71
05-26-2020,213,1,71
05-25-2020,209,1,71
05-24-2020,194,0,51
05-23-2020,168,0,48
05-22-2020,164,0,48
05-21-2020,162,0,48
05-20-2020,156,0,48
05-19-2020,146,0,44
05-18-2020,145,0,44
05-17-2020,137,0,44
05-16-2020,129,0,43
05-15-2020,119,0,42
05-14-2020,115,0,35
05-13-2020,104,0,34
05-12-2020,104,0,34
05-11-2020,103,0,34
05-10-2020,91,0,34
05-09-2020,87,0,34
05-08-2020,82,0,27
05-07-2020,81,0,24
05-06-2020,81,0,21
05-05-2020,81,0,19
05-04-2020,80,0,19
05-03-2020,80,0,19
05-02-2020,79,0,18
05-01-2020,79,0,12
04-30-2020,76,0,12
04-29-2020,76,0,12
04-28-2020,76,0,12
04-27-2020,76,0,12
04-26-2020,76,0,12
04-25-2020,70,0,12
04-24-2020,65,0,12
04-23-2020,46,0,9
04-22-2020,41,0,8
04-21-2020,39,0,8
04-20-2020,39,0,8
04-19-2020,39,0,8
04-18-2020,35,0,4
04-17-2020,34,0,2
04-16-2020,31,0,2
04-15-2020,29,0,2
04-14-2020,28,0,2
04-13-2020,21,0,2
04-12-2020,21,0,2
04-11-2020,20,0,2
04-10-2020,20,0,2
04-09-2020,17,0,1
04-08-2020,17,0,1
04-07-2020,10,0,1
04-06-2020,10,0,1
04-05-2020,10,0,1
04-04-2020,10,0,1
04-03-2020,10,0,0
04-02-2020,10,0,0
04-01-2020,10,0,0
03-31-2020,8,0,0
03-30-2020,8,0,0
03-29-2020,8,0,0
03-28-2020,8,0,0
03-27-2020,7,0,0
03-26-2020,7,0,0
03-25-2020,5,0,0
03-24-2020,3,0,0
03-23-2020,1,0,0
03-22-2020,1,0,0
03-21-2020,0,0,0
03-20-2020,0,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
